,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
305,,,,,,,,2.8077378820685497,12761.225015015014
306,,,,,,,,2.8103214857949403,12802.558288288286
307,,,,,,,,2.812904200478637,12843.89156156156
308,,,,,,,,2.8154858661547495,12885.224834834833
309,,,,,,,,2.818066323629266,12926.558108108107
310,,,,,,,,2.8206454144790576,12967.89138138138
311,,,,,,,,2.8232229810518703,13009.224654654654
312,,,,,,,,2.825798866466334,13050.557927927926
313,,,,,,,,2.828372914611958,13091.891201201199
314,,,,,,,,2.8309449701491327,13133.224474474473
315,,,,,,,,2.8335148785091264,13174.557747747745
316,,,,,,,,2.836082485894086,13215.89102102102
317,,,,,,,,2.8386476392770414,13257.224294294292
318,,,,,,,,2.841210186401903,13298.557567567566
319,,,,,,,,2.8437699757834576,13339.890840840839
320,,,,,,,,2.8463268567073743,13381.224114114113
321,,,,,,,,2.8488806792302035,13422.557387387385
322,,,,,,,,2.851431294179369,13463.89066066066
323,,,,,,,,2.8539785531531847,13505.223933933932
324,,,,,,,,2.8565223085208378,13546.557207207206
325,,,,,,,,2.859062413422394,13587.890480480479
326,,,,,,,,2.8615987217688055,13629.223753753753
327,,,,,,,,2.864131088241898,13670.557027027025
328,,,,,,,,2.86665936829438,13711.890300300298
329,,,,,,,,2.8691834181498432,13753.223573573572
330,,,,,,,,2.871703094802751,13794.556846846845
331,,,,,,,,2.874218256018455,13835.890120120119
332,,,,,,,,2.8767287603331804,13877.223393393391
333,,,,,,,,2.879234467054038,13918.556666666665
334,,,,,,,,2.881735236259016,13959.889939939938
335,,,,,,,,2.884230928796981,14001.223213213212
336,,,,,,,,2.8867214062876827,14042.556486486485
337,,,,,,,,2.889206531121747,14083.889759759759
338,,,,,,,,2.8916861664606825,14125.223033033031
339,,,,,,,,2.894160176236878,14166.556306306305
340,,,,,,,,2.896628425153601,14207.889579579578
341,,,,,,,,2.8990907786849984,14249.222852852852
342,,,,,,,,2.901547103076098,14290.556126126125
343,,,,,,,,2.903997265342808,14331.889399399397
344,,,,,,,,2.906441133271919,14373.222672672671
345,,,,,,,,2.9088785754210944,14414.555945945944
346,,,,,,,,2.911309461118882,14455.889219219218
347,,,,,,,,2.913733660464712,14497.22249249249
348,,,,,,,,2.91615104432889,14538.555765765765
349,,,,,,,,2.9185614843526038,14579.889039039037
350,,,,,,,,2.9209648529479213,14621.222312312311
351,,,,,,,,2.9233610232977894,14662.555585585584
352,,,,,,,,2.9257498693560366,14703.888858858858
353,,,,,,,,2.9281312658473677,14745.22213213213
354,,,,,,,,2.930505088267373,14786.555405405405
355,,,,,,,,2.9328712128825174,14827.888678678677
356,,,,,,,,2.93522951673015,14869.22195195195
357,,,,,,,,2.937579877618495,14910.555225225224
358,,,,,,,,2.939922174126663,14951.888498498496
359,,,,,,,,2.942256285604639,14993.22177177177
360,,,,,,,,2.9445820921732904,15034.555045045043
361,,,,,,,,2.9468994747243635,15075.888318318317
362,,,,,,,,2.949208314920487,15117.22159159159
363,,,,,,,,2.9515084951951662,15158.554864864864
364,,,,,,,,2.9537998987527883,15199.888138138136
365,,,,,,,,2.9560824095686207,15241.22141141141
366,,,,,,,,2.9583559123888086,15282.554684684683
367,,,,,,,,2.9606202927303813,15323.887957957957
368,,,,,,,,2.962875436881243,15365.22123123123
369,,,,,,,,2.9651212319001816,15406.554504504504
370,,,,,,,,2.967357565616863,15447.887777777776
371,,,,,,,,2.9695843266318342,15489.221051051049
372,,,,,,,,2.971801404316523,15530.554324324323
373,,,,,,,,2.9740086888132335,15571.887597597595
374,,,,,,,,2.976206071035153,15613.22087087087
375,,,,,,,,2.9783934426663485,15654.554144144142
376,,,,,,,,2.980570696161766,15695.887417417416
377,,,,,,,,2.982737724747231,15737.220690690689
378,,,,,,,,2.9848944224194502,15778.553963963963
379,,,,,,,,2.9870406839460113,15819.887237237235
380,,,,,,,,2.9891764048653773,15861.22051051051
381,,,,,,,,2.991301481486899,15902.553783783782
